[14, 14, 13, 13, 13, 13, 13]
[11, 11, 10, 11, 13, 10, 12]
[17, 17, 15, 14, 14, 15, 15]
[19, 19, 14, 16, 16, 13, 17]
[15, 15, 12, 12, 12, 14, 15]
[18, 18, 17, 17, 16, 17, 16]
[17, 17, 17, 16, 17, 15, 17]
[19, 19, 18, 18, 17, 16, 18]
[15, 15, 9, 14, 13, 13, 13]
[13, 13, 13, 13, 14, 14, 15]
[18, 18, 17, 17, 17, 15, 18]
[16, 16, 15, 16, 15, 14, 15]
[16, 16, 16, 15, 15, 14, 14]
[17, 17, 15, 15, 15, 15, 16]
[17, 17, 17, 17, 17, 17, 16]
[15, 15, 13, 14, 13, 14, 14]
[14, 14, 14, 14, 15, 14, 16]
[16, 16, 15, 15, 15, 14, 15]
[16, 16, 16, 13, 13, 14, 14]
[21, 21, 17, 19, 19, 18, 19]
[21, 21, 18, 20, 20, 20, 20]
[19, 19, 17, 17, 15, 16, 14]
[13, 13, 12, 11, 11, 11, 11]
[15, 15, 13, 14, 14, 14, 14]
[18, 18, 17, 17, 16, 17, 17]
[13, 13, 13, 13, 12, 14, 14]
[17, 17, 17, 17, 17, 15, 15]
[18, 18, 16, 16, 15, 18, 18]
[14, 14, 15, 13, 14, 14, 15]
[17, 17, 16, 16, 15, 16, 17]
[16, 16, 15, 14, 14, 15, 15]
[21, 21, 17, 19, 19, 20, 19]
[19, 19, 17, 16, 16, 16, 16]
[20, 20, 19, 19, 17, 18, 18]
[20, 20, 19, 19, 19, 18, 19]
[14, 14, 11, 13, 13, 13, 14]
[18, 18, 18, 18, 18, 17, 16]
[16, 16, 16, 16, 16, 17, 16]
[18, 18, 17, 17, 17, 19, 17]
[20, 20, 18, 17, 18, 17, 18]
[16, 16, 13, 15, 15, 16, 17]
[14, 14, 12, 13, 13, 12, 15]
[13, 13, 13, 13, 13, 13, 14]
[20, 20, 18, 19, 19, 17, 19]
[18, 18, 16, 15, 16, 16, 16]
[13, 13, 13, 12, 12, 12, 12]
[18, 18, 17, 16, 16, 17, 17]
[18, 18, 17, 16, 19, 15, 17]
[20, 20, 17, 15, 17, 17, 17]
[18, 18, 13, 12, 12, 10, 11]
