[27, 27, 3, 1, 1, 0, 0]
[28, 28, 12, 1, 1, 0, 1]
[28, 28, 10, 0, 0, 0, 2]
[31, 31, 6, 1, 1, 1, 0]
[30, 30, 9, 1, 1, 0, 0]
[30, 30, 8, 1, 1, 1, 1]
[29, 29, 5, 0, 0, 0, 0]
[27, 26, 4, 3, 5, 2, 1]
[28, 28, 9, 0, 0, 0, 0]
[30, 30, 12, 1, 2, 0, 0]
[25, 24, 3, 0, 0, 0, 0]
[25, 25, 5, 1, 1, 0, 0]
[25, 25, 15, 0, 1, 0, 0]
[27, 27, 6, 0, 0, 0, 0]
[30, 30, 9, 3, 3, 0, 2]
[28, 28, 0, 0, 0, 0, 0]
[29, 29, 2, 1, 0, 0, 0]
[30, 30, 6, 0, 0, 1, 1]
[26, 26, 23, 0, 1, 0, 0]
[26, 26, 2, 0, 0, 0, 1]
[28, 28, 5, 0, 2, 0, 0]
[26, 26, 3, 0, 0, 0, 0]
[24, 24, 10, 1, 1, 1, 1]
[25, 25, 2, 0, 0, 0, 1]
[25, 25, 8, 1, 3, 0, 1]
[28, 28, 3, 2, 1, 0, 0]
[29, 29, 11, 0, 0, 0, 0]
[29, 29, 14, 3, 4, 2, 2]
[26, 26, 3, 0, 0, 0, 0]
[29, 29, 1, 2, 2, 0, 1]
[31, 31, 6, 1, 2, 0, 4]
[28, 27, 5, 1, 1, 1, 1]
[30, 30, 4, 0, 0, 1, 1]
[28, 28, 18, 1, 3, 1, 1]
[28, 28, 2, 0, 0, 0, 1]
[28, 28, 4, 0, 0, 1, 0]
[29, 29, 11, 0, 0, 0, 0]
[28, 28, 3, 0, 0, 0, 0]
[27, 27, 3, 0, 0, 0, 0]
[30, 30, 8, 0, 0, 1, 1]
[28, 27, 1, 0, 1, 0, 0]
[28, 28, 5, 0, 0, 0, 0]
[32, 32, 18, 0, 0, 0, 0]
[29, 29, 1, 0, 0, 0, 0]
[29, 29, 7, 0, 0, 0, 1]
[29, 29, 4, 3, 4, 2, 1]
[29, 29, 2, 0, 0, 0, 0]
[24, 23, 4, 0, 0, 0, 0]
[29, 29, 14, 1, 1, 0, 0]
[29, 29, 4, 0, 0, 0, 0]
